sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
Er [wartet] auf den Nachtbus.,sha256-mrVBcxWJnUEbuA8s0JQYfIYB0aMpHWDF4Utm_lJdw0c,"[{""attested"":""wartet"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""}]",Full,The realized governed preposition auf is a fixed occurrence member and remains recorded as the Lemma feature hasGovPrep.,,true
Er [wog] vielleicht ein halbes Lot – und war am fünften Tage tot. ,sha256-EF3u1MHBGL1scO39Bop5yvu4_2rHXqV83-DRo-vxu_8,"[{""attested"":""wog"",""orthography"":""Standard""}]",Full,"Here wog is the past finite form of wiegen in the 'have a weight of' use, not the rocking or swaying use.",,true
Er wog vielleicht ein halbes [Lot] – und war am fünften Tage tot. ,sha256-vK9Obnvv0mZ_omQu8e_xC9JrNb2QjNkUjvIEAcwgxE8,"[{""attested"":""Lot"",""orthography"":""Standard""}]",Full,"I treated Lot as the neuter weight unit and annotated the noun as accusative singular because it is the measure complement of wog. The bare noun form itself is syncretic with the citation form, so the case decision comes from the clause, not from overt noun morphology.",,true
Er wog vielleicht ein halbes Lot – und [war] am fünften Tage tot. ,sha256-WAPGtmjmDpRyt6RPSvEBHUPNO84Hm0-SfJee7jqV6bc,"[{""attested"":""war"",""orthography"":""Standard""}]",Full,"I kept war under the AUX Lemma sein, following the repo's treatment of finite and participial sein forms as auxiliary/copular rather than splitting off a separate lexical VERB Lemma.",,true
Er wog vielleicht ein halbes Lot – und war am [fünften] Tage tot. ,sha256-7lt0JTE2WQT9ZIieazCmdt4YYYfCnNgK-6jmHZDO5hs,"[{""attested"":""fünften"",""orthography"":""Standard""}]",Full,"Fünften is the dative masculine singular inflected form of the ordinal adjective fünfte in the temporal phrase am fünften Tage, so I modeled it as ADJ with ordinal number features rather than as a cardinal numeral.",,true
Er wog vielleicht ein halbes Lot – und war am fünften Tage [tot]. ,sha256-vnZOICXndJH-H1fhWW_MFRtUGcomDmBNm53w1GMMADs,"[{""attested"":""tot"",""orthography"":""Standard""}]",Full,Predicative tot is stored as a citation-shaped adjective because there is no overt inflection on the selected form.,,true
"[Es] brennt die Hand, es brennt das Haar, es brennt das ganze Kind sogar.",sha256-DGr4xyLboWGxj6gTBdYFzXR8B3fZO2sh_3YdS22WjgY,"[{""attested"":""Es"",""orthography"":""Standard""}]",Full,"Sentence-initial Es is capitalized in clicked Text but normalizedSurface stays lowercase. I treated it as nominative personal-pronoun es in an expletive or presentational use with a postponed nominative subject, rather than as a referential neuter pronoun.",,true
"Es brennt die Hand, es brennt das Haar, es brennt das [ganze] Kind sogar.",sha256-NHvT8CjeWMkgyzZGkN6zw3lwOWhrrTx8uU0PIZbCF80,"[{""attested"":""ganze"",""orthography"":""Standard""}]",Full,Ganze is an attributive adjective modifying Kind. The surface form is syncretic between neuter nominative and accusative singular after das; I chose nominative because in this rhyme das ganze Kind reads as the postposed subject of brennt.,,true
"Es brennt die Hand, es brennt das Haar, es brennt das ganze Kind [sogar].",sha256-3uMDhZuqDsqmaZOaTm1eAuZr2rtTUIge80TB1TccAKg,"[{""attested"":""sogar"",""orthography"":""Standard""}]",Full,"Sogar is the scalar focus item here. The current dumling inventory does not give German focus particles a dedicated subtype, so I classified it as ADV rather than inventing a particle-specific analysis.",,true
[Es] zog der wilde Jägersmann sein grasgrün neues Röcklein an;,sha256-xrwQHEWROQE2sjvofSzq-KcqVnez2C_u9jRdgr2Fskg,"[{""attested"":""Es"",""orthography"":""Standard""}]",Full,"I treated sentence-initial `Es` as the personal pronoun lemma `es` with nominative neuter singular inflection. In this poetic inversion it may function as expletive or presentational `es`, but the current schema has no dedicated expletive feature, so plain PRON is the closest Dumling fit.",,true
Es [zog] der wilde Jägersmann sein grasgrün neues Röcklein an;,sha256-P43kvyd9tBuwxWabdt6906q--Ls0D05SFE2p1nI_yd8,"[{""attested"":""zog"",""orthography"":""Standard""},{""attested"":""an"",""orthography"":""Standard""}]",Full,The Full Attestation records both discontinuous members zog and an of the separable verb `anziehen`; the docs review span remains on zog.,,true
Es zog der wilde Jägersmann sein grasgrün neues Röcklein [an];,sha256-xLKgNo3b1C-QB36TqhmViyIjrpt7kfqU0Qmj3oIVn10,"[{""attested"":""zog"",""orthography"":""Standard""},{""attested"":""an"",""orthography"":""Standard""}]",Full,"The detached prefix token is still classified against the same separable verbal surface `zog an`, following the existing Dumling pattern for split verbs like `pass auf`.",,true
[Fort] geht nun die Mutter und wupp! den Daumen in den Mund. ,sha256-1n2FTSLGezbLLspRTzqw81sxaEzoO9n744tpeAUiTLg,"[{""attested"":""Fort"",""orthography"":""Standard""}]",Full,"Fort is treated as the standalone directional adverb here. Even with the overt motion verb `geht`, the fronted `Fort geht ...` sequence does not by itself force the lexicalized separable verb `fortgehen`, so dumling keeps the compositional `gehen` + directional-adverb analysis.","I previously over-read `Fort` as a partial attestation of the separable verb `fortgehen`. Under the stricter directional-item rule, this line is better kept as plain `gehen` plus the standalone directional adverb `fort`, because the form itself does not force the lexicalized verb analysis.",true
Fort geht nun die Mutter und [wupp]! den Daumen in den Mund. ,sha256-eFSFeNLW6ktwA697N-Um3_g5oTqQZhY2vmZlG47Mil4,"[{""attested"":""wupp"",""orthography"":""Standard""}]",Full,"Wupp looks like an exclamatory sound-effect item, so I treated it as a plain interjection. I did not model it as a discourse formula because there is no larger fixed phrase to recover, and I did not force `partType: Res` because this is an expressive exclamation rather than a response particle.",,true
[Geh] bitte nicht ohne Jacke raus.,sha256-HXRnmdnwFVRjd3e4wflM8WOQqDIoo29udNzDlFExwgE,"[{""attested"":""Geh"",""orthography"":""Standard""}]",Full,Imperative forms use mood Imp together with finite verbForm in the schema.,,true
Genau da liegt der [Hase] im Pfeffer.,sha256-pUnmw7vLQC7oRf8X6ljLMk7frF7azzjUrlPUTgy4ZF8,"[{""attested"":""da"",""orthography"":""Standard""},{""attested"":""liegt"",""orthography"":""Standard""},{""attested"":""der"",""orthography"":""Standard""},{""attested"":""Hase"",""orthography"":""Standard""},{""attested"":""im"",""orthography"":""Standard""},{""attested"":""Pfeffer"",""orthography"":""Standard""}]",Full,The Full Attestation records the complete opaque idiom occurrence; the docs review span on Hase does not classify it as the lexical noun Hase.,,true
"[Guten Tag], ich habe einen Termin.",sha256-fD9lrD-lzpf-IxBf97Zo2j126-hIk-IegIkL2vCJGH4,"[{""attested"":""Guten"",""orthography"":""Standard""},{""attested"":""Tag"",""orthography"":""Standard""}]",Full,Guten Tag is treated as a greeting formula rather than as a compositional adjective plus noun phrase.,,true
"Ich gehe Tomaten kaufen, um einen Salat [zu] machen.",sha256-7hN9c6JqFvso27bJVYbhFD4MmqcANiK1KxgOveKpT0E,"[{""attested"":""um"",""orthography"":""Standard""},{""attested"":""zu"",""orthography"":""Standard""}]",Full,"The Full Attestation records both members of the learner-facing Construction/PairedFrame `um zu`; the docs-owned review span remains on `zu`, outside the Dumling DTO.",,
Ich [lasse] mir morgen die Haare schneiden.,sha256-X-OTWLiQ0_meuUmrvwVzMuOATC_nStRtWtabuTibQ6k,"[{""attested"":""lasse"",""orthography"":""Standard""}]",Full,Lasse is the 1st-person singular present indicative form of the lexical verb lassen heading the causative construction.,,true
Ich suche einen [besseren] Ansatz.,sha256-QbcSjWU00rcF7v-X-_H8Y3oLMfFPE5Cr27IsXbgrjoQ,"[{""attested"":""besseren"",""orthography"":""Standard""}]",Full,Besseren is a comparative adjective with accusative masculine singular agreement.,,true
Ich will mir morgen die Haare schneiden [lassen].,sha256-yAPlZHluifOGMBtCVl-uVzVxhN0TtW0UKqgupVp84HM,"[{""attested"":""lassen"",""orthography"":""Standard""}]",Full,"The attested member is the plain infinitive of the lexical verb lassen in a causative construction, not a citation form standing outside syntax.",,true
Im Heft stand [Filosofie] statt Philosophie.,sha256-z6LqcGp3YccReMoRYy2sZTcXVVmuGVmuGTlsxJeX9is,"[{""attested"":""Filosofie"",""orthography"":""Typo""}]",Full,This is a typo attestation whose noncanonical spelling still points to the canonical lemma Philosophie.,,true
In Berlin betreibt die [BVG] die U-Bahn.,sha256-EMjOq7UbtIPBfrs4OGLuD2DPvM9q2gvVi9pPg2Jl8aU,"[{""attested"":""BVG"",""orthography"":""Standard""}]",Full,"`BVG` is a proper-noun abbreviation, so `abbr: ""Yes""` belongs on the Lemma's inherent feature bag.",,
In [ge]lacht markieren ge- und -t zusammen das Partizip.,sha256-Wf4-4pSi_oz9h8_7LQAeYgpO2jbj-tcR4xciDT5ioG0,"[{""attested"":""ge"",""orthography"":""Standard""},{""attested"":""t"",""orthography"":""Standard""}]",Full,The circumfix is modeled as one morpheme even though the selected spelling shows only its first visible segment.,,true
"Jetzt schien die Sonne gar zu sehr, [da] ward ihm sein Gewehr zu schwer.",sha256-mHOgOm7v1nHmbjb_lU61UxAh5cUvkmiDPv0Zj35AEfs,"[{""attested"":""da"",""orthography"":""Standard""}]",Full,"I treated `da` as a narrative temporal adverb meaning roughly `then`, not as the subordinating conjunction, because the clause stays V2 (`da ward ...`) instead of showing subordinate verb-final order.",,true
"Jetzt schien die Sonne gar zu sehr, da [ward] ihm sein Gewehr zu schwer.",sha256-5XrOvAYWAZz6JmDEUg__Fo5PNXmrFzyM_yCfITkE1io,"[{""attested"":""ward"",""orthography"":""Standard""}]",Full,"I treated `ward` as the archaic 3sg past finite of `werden` and analyzed it as `VERB` because it carries the clause's change-of-state meaning with the predicative complement `zu schwer`, rather than auxiliary-marking another verbal form. We may eventually want an `isArch` flag on `Attestation` for forms like `ward`, but for now this attestation stays otherwise unchanged.",Do not default finite `werden` to `AUX` just because it takes a predicative complement. The earlier mistake here was classifying `ward` as `AUX` instead of lexical `VERB` in a change-of-state use.,true
Meine [Mutter] ruft jeden Sonntag an.,sha256-mnGXWtfRnhbyvacloM-J5072NCuOcJgl6sOf5z0QT7k,"[{""attested"":""Mutter"",""orthography"":""Standard""}]",Full,This is the kinship noun Mutter.,,true
Mit den [Kindern] ist es nie langweilig.,sha256-bS5FmmeS4kHS0ZQEMhPblnAlWnpNuRYXilARUKHJ-AQ,"[{""attested"":""Kindern"",""orthography"":""Standard""}]",Full,Kindern is a dative plural noun with plural -n; the surface features carry both case and number.,,true
Mit [keinem] Wort erwähnte sie den Plan.,sha256-g-bQLA1_xH28Zj9Ov6D1ibOUiTSxQ41IVMRPyy0RbRM,"[{""attested"":""keinem"",""orthography"":""Standard""}]",Full,Keinem is a negative determiner rather than a pronoun because it modifies Wort.,,true
"[Morgenstund] hat Gold im Mund, sagte sie verschlafen.",sha256-f--7THDh0zXtwGUTdKOZVRlrlpNerPyeVWOkS4JW0b0,"[{""attested"":""Morgenstund"",""orthography"":""Standard""},{""attested"":""hat"",""orthography"":""Standard""},{""attested"":""Gold"",""orthography"":""Standard""},{""attested"":""im"",""orthography"":""Standard""},{""attested"":""Mund"",""orthography"":""Standard""}]",Full,The Full Attestation records every member of the proverb occurrence; the docs review span remains on Morgenstund only.,,true
"[Na ja], ganz überzeugt bin ich nicht.",sha256-ZoMqAueG6SZwnddqJY_Kf7maus0OXF1iYq8toh6dJyY,"[{""attested"":""Na"",""orthography"":""Standard""},{""attested"":""ja"",""orthography"":""Standard""}]",Full,Na ja is treated as a discourse formula with the role Reaction; punctuation is excluded from the normalized surface.,,
"Na [ja], ganz überzeugt bin ich nicht.",sha256-GbIeHathzV5BdM4HDM-vTfMd542einPFufEUCYhyJ2U,"[{""attested"":""Na"",""orthography"":""Standard""},{""attested"":""ja"",""orthography"":""Standard""}]",Full,The Full Attestation records both members of the discourse formula na ja; the docs review span on ja does not make it a standalone response particle.,,true
Nach [manchem] Fehler lernt man schneller.,sha256-sr8WC5JBSe3rCrSfOW0BibGX5IQmUt4lQVvbUAO95k8,"[{""attested"":""manchem"",""orthography"":""Standard""}]",Full,Manchem is annotated as DET because it modifies Fehler; it would be PRON only in substantive use.,,true
"nahm Ranzen, Pulverhorn und Flint und [lief] hinaus ins Feld geschwind",sha256-gbLCDicdjr-CfgdqYxB4vwOxlcIiAxFO5qVQQMAJFiI,"[{""attested"":""lief"",""orthography"":""Standard""}]",Full,The attested member is analyzed as the plain finite verb `lief` from lemma `laufen`. The following `hinaus` is treated separately as a directional adverb rather than being folded into a larger separable-verb payload here.,"I previously inflated the selected finite verb into the separable verb `hinauslaufen`. With the directional-item rule tightened, the safer analysis here is the ordinary finite verb `laufen`, while `hinaus` is handled separately as an adverb.",true
"nahm Ranzen, Pulverhorn und Flint und lief [hinaus] ins Feld geschwind",sha256-i4MxRLRtxh3Y60LDaGREXttfgzqMYM0kly9JaTkhEKE,"[{""attested"":""hinaus"",""orthography"":""Standard""}]",Full,"Hinaus is treated as the standalone directional adverb here. In an ambiguous motion clause like `lief hinaus`, dumling now leans toward `Verb + directional adverb` unless the form itself or stronger context clearly forces a separable-verb analysis.","I previously forced `hinaus` into the separable verb `hinauslaufen`. Under the stricter directional-item rule, this sentence is better analyzed as plain `laufen` plus the standalone directional adverb `hinaus`, because nothing in the form itself disambiguates toward the lexicalized verb.",true
"nahm Ranzen, Pulverhorn und Flint und lief hinaus [ins] Feld geschwind",sha256-F6f1kQF9CFhZMdiYCKnHQu33Fr5dBbkab2r9Wa2Todo,"[{""attested"":""ins"",""orthography"":""Standard""}]",Full,"Ins is the usual German fused form, so Dumling keeps it as Construction/Fusion rather than decomposing it into in + das.",,true
"nahm Ranzen, Pulverhorn und Flint und lief hinaus ins Feld [geschwind]",sha256-LdBGH4i-WoL9j3PJ-qs_zkUNKhVpnbCcGAysnezx5J8,"[{""attested"":""geschwind"",""orthography"":""Standard""}]",Full,"I treated `geschwind` here as an adverb meaning `quickly`, not as an adjective, because it modifies the running event directly and shows no adjectival inflection in this use.",,true
[Pass] auf dich auf!,sha256-BK2PLK01ICKGgwWJSn19LBw8OucnKPJJY4L-Fb7f5Tw,"[{""attested"":""Pass"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""}]",Full,"Pass, governed auf, and detached-prefix auf are three fixed members distinguished by source position; free reflexive object dich remains separate.",,true
Pass [auf] dich auf!,sha256-IRN7pK05rIQEG3Z4quNLtzAFfqbI9zJyaG0PgmQJEhs,"[{""attested"":""Pass"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""}]",Full,The governed-preposition click returns the same three-member aufpassen occurrence; the equal auf strings remain distinct by source position and role.,,true
Pass auf [dich] auf!,sha256-mvDPLRTp5D-sIyHFGlHy47tbX5mDwWt8NTf6btp1RhA,"[{""attested"":""dich"",""orthography"":""Standard""}]",Full,"Dich is a free contextual reflexive object, not an inherent member of aufpassen; its independent pronoun Attestation remains separate from the verbal Surface `pass auf auf`.",,true
Pass auf dich [auf]!,sha256-BqlDSoHrr1qI45_-DFq22_N0GghZ4aj2C1adj76dhDM,"[{""attested"":""Pass"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""},{""attested"":""auf"",""orthography"":""Standard""}]",Full,"The detached-prefix click returns the same three-member verbal occurrence: Pass, governed auf, and detached-prefix auf in source order.",,true
[Schwimmen] ist gesund.,sha256-KDVeaVSb633iKeN-JV-yz_fH_Pb9F0nXe3hW4vCpI-0,"[{""attested"":""Schwimmen"",""orthography"":""Standard""}]",Full,"Schwimmen is classified as a substantivized infinitive here, so the selected learner-facing unit is a neuter noun rather than the verb schwimmen. The attested form is already citation-shaped for that nominal reading.",,true
Sein ständiges [Meckern] nervt.,sha256-FOa-aqoAR8uiQzKPuUDo1nA-dN-wNIA4nbJ9h-am-yo,"[{""attested"":""Meckern"",""orthography"":""Standard""}]",Full,"Meckern is treated here as a substantivized infinitive, so the learner-facing unit is a neuter noun rather than the verb `meckern`. The selected form is citation-shaped for this nominal reading, so it stays `Surface/Citation`.",,true
Sie [erinnert] sich an den Geruch.,sha256-C8nkOIotQ4wPvBUoF_gB7_YSh88_xmJM7AFCJJm6Zus,"[{""attested"":""erinnert"",""orthography"":""Standard""},{""attested"":""sich"",""orthography"":""Standard""},{""attested"":""an"",""orthography"":""Standard""}]",Full,The inherently reflexive sich and governed an are fixed occurrence members; the Lemma identity remains sich erinnern with the same core features.,,true
Sie folgte ihrem [Herzen].,sha256-mOq0wgmSfl7440-XYaWwhWDh8M6Un5oOIaR7XYiQ2p0,"[{""attested"":""Herzen"",""orthography"":""Standard""}]",Full,"Herzen is dative singular here, not plural, despite its weak-looking ending on a neuter noun.",,true
Sie ist [verheiratet].,sha256-dzdoEKVLJl6KLT6J9MBsb9v0kSlvHHi5Czy18yxNOt0,"[{""attested"":""verheiratet"",""orthography"":""Standard""}]",Full,"Verheiratet is treated here as a bare predicative Partizip-II form of verheiraten. Under the stricter German participle rule, non-attributive participles of lexical verbs stay VERB even when the clause expresses a stable resulting state.",,true
Sie kam [lachend] herein.,sha256-hQEZ4B4FuX7UHKIMLpGwc36T4DaOemsZ3fX_h5bl0OE,"[{""attested"":""lachend"",""orthography"":""Standard""}]",Full,"Lachend is the present participial form of lachen used non-attributively, so under the repo's German participle rule it stays VERB rather than shifting to ADJ or ADV.",,true
Sie sprang [ins] kalte Wasser.,sha256-9BPAbZxZMj3BLvJuuuc9yoVLQCrfuibW6zKQ5UlMcRw,"[{""attested"":""ins"",""orthography"":""Standard""}]",Full,Ins gets the same Construction/Fusion treatment as zum; the public DTO preserves the fused form intact.,,true
Sie [übersetzt] den Vertrag ins Deutsche.,sha256-4ZwNsTwHWcXsRh20hTuYWBbb5lwByRzobV2oD_hwZ6w,"[{""attested"":""übersetzt"",""orthography"":""Standard""}]",Full,"The ambiguous surface übersetzt is taken as present finite, not as a participle.",,true
Sie [umfuhr] die Baustelle weiträumig.,sha256-nJ6g0HkczjyJcKpqssAe9By9tD4tF8STwONG93CCyJ0,"[{""attested"":""umfuhr"",""orthography"":""Standard""}]",Full,"This is inseparable umfahren in the past finite form, so there is no separable-prefix feature.",,true
Sie wurde um Geduld [gebeten].,sha256-TgNwKQBWCi-7rQ8I7DbIO42rESSMtCJ0CjYo6_jjfKw,"[{""attested"":""wurde"",""orthography"":""Standard""},{""attested"":""um"",""orthography"":""Standard""},{""attested"":""gebeten"",""orthography"":""Standard""}]",Full,"Passive wurde and governed um are fixed members, while the route-owning lexical head remains the ordinary participle gebeten with null tense and voice.",,true
"[Sieh] einmal, hier steht er, pfui, der Struwwelpeter!",sha256-xJU3sW7bcvHlth7Rg7aDBQFgq71timPmBaUQbkcLyYg,"[{""attested"":""Sieh"",""orthography"":""Standard""}]",Full,I kept Sieh as the imperative inflection of sehen rather than treating Sieh einmal as one larger formula; the sentence-initial capital remains only in clicked Text.,,true
"Sieh [einmal], hier steht er, pfui, der Struwwelpeter!",sha256-mda0vIHKNtc0IVZgH4VZJys0p6IMuIY5MQnKQL7L3-s,"[{""attested"":""einmal"",""orthography"":""Standard""}]",Full,I treated einmal here as an adverb rather than as part of a larger fixed expression with Sieh; in this line it functions like a discourse-softening or temporal adverbial token.,,
"Sieh einmal, [hier] steht er, pfui, der Struwwelpeter!",sha256-nbeoAGvsJ0ALAAiluIxOdfaU1wST8VDO3wh0kagpIo8,"[{""attested"":""hier"",""orthography"":""Standard""}]",Full,,,true
"Sieh einmal, hier [steht] er, pfui, der Struwwelpeter!",sha256-MaWJ4e5gXaAwWel7g639JXGeT79wa2087Af3rZSLXns,"[{""attested"":""steht"",""orthography"":""Standard""}]",Full,,,true
"Sieh einmal, hier steht [er], pfui, der Struwwelpeter!",sha256-qPxuivar7fBU--2RrAA3UYXGSV7ZFX7ld1wicxrKzyo,"[{""attested"":""er"",""orthography"":""Standard""}]",Full,,,true
"Sieh einmal, hier steht er, [pfui], der Struwwelpeter!",sha256-OSmGWLAsdT1VP_zhmBnfbxt-shr-C9TjiL71BW8Ae5g,"[{""attested"":""pfui"",""orthography"":""Standard""}]",Full,"Pfui is treated as a plain interjection. I did not force `partType: Res` because this use expresses disgust/exclamation, not the schema's narrower response-particle reading.",,true
"Sieh einmal, hier steht er, pfui, [der] Struwwelpeter!",sha256-OU7cGxiICCv1DvtZ6KUAlrfF_rJVD4O0jKH1-jsWoD0,"[{""attested"":""der"",""orthography"":""Standard""}]",Full,"This der is the definite article introducing Struwwelpeter, not a standalone pronoun, so it stays DET even though it precedes a name-like label.",,true
"Sieh einmal, hier steht er, pfui, der [Struwwelpeter]!",sha256-VgsgR5LleEvJ86CPlGyQoSOE703DkwaVpgC5FyMorFE,"[{""attested"":""Struwwelpeter"",""orthography"":""Standard""}]",Full,"I treated Struwwelpeter as PROPN: der is a stylistic article here, but the referent is still the named character rather than a common noun.",,true
"Sieh [mal] an, die Kleine von nebenan.",sha256-9VAPZQp9qJklOqVlUaeKgj6Zu2oGRWadTDzLaywtA-g,"[{""attested"":""mal"",""orthography"":""Standard""}]",Full,"I treated mal as the colloquial reduced variant of adverb einmal. Even in the semi-formulaic frame sieh mal an, the learner-facing selected unit is still the standalone adverb rather than a larger discourse formula.",,
"[Tut mir leid], das war mein Fehler.",sha256-kdzn2M9LpBpnvD8DCQ1OdlLzcL-7tfo--r3RHfFwffA,"[{""attested"":""Tut"",""orthography"":""Standard""},{""attested"":""mir"",""orthography"":""Standard""},{""attested"":""leid"",""orthography"":""Standard""}]",Full,"Tut mir leid is stored as an apology phraseme, not as a literal finite-verb attestation.",,true
"Und Minz und Maunz, [die] schreien gar jämmerlich zu zweien",sha256-29AV8TmcTzCAUIHkWdUhU4koyOWeTqj3BMRgzVczwf0,"[{""attested"":""die"",""orthography"":""Standard""}]",Full,"Die links the relative clause back to Minz und Maunz, so this is the nominative plural relative pronoun, not the article.",,true
"Und Minz und Maunz, die schreien [gar] jämmerlich zu zweien",sha256-3y3kv-jyra1sy09gpoSxSd9NdiqtitWrL15F77uLSSk,"[{""attested"":""gar"",""orthography"":""Standard""}]",Full,"Gar functions as an intensifier here. Dumling does not currently split German focus or degree particles into a separate subtype, so I classified it as ADV rather than PART.",,true
"Und Minz und Maunz, die schreien gar [jämmerlich] zu zweien",sha256-Tyry9C9ntWUZdxVNY-XaGLAcc8320ywuOfQI4gz7pjc,"[{""attested"":""jämmerlich"",""orthography"":""Standard""}]",Full,"Jämmerlich is adjective-shaped, but in this sentence it modifies schreien adverbially. I classified the attested use as ADV to reflect the learner-facing role in context.",,true
"Und Minz und Maunz, die schreien gar jämmerlich [zu] zweien",sha256-IHl5z7IbXQrVLL79ymGz1a4KZG_YzIi0urxBcwUMY64,"[{""attested"":""zu"",""orthography"":""Standard""}]",Full,"Here zu is the preposition heading the fixed adverbial phrase zu zweien, so I kept it as ADP rather than reading it as infinitival or separable-particle zu.",,true
"Und Minz und Maunz, die schreien gar jämmerlich zu [zweien]",sha256-V5XVl8lfYgDBLkrJmEHpTkYlX7SitJ7mJoYe9bc9uTQ,"[{""attested"":""zweien"",""orthography"":""Standard""}]",Full,"I treated zweien as the dative inflected form of the cardinal numeral zwei inside the fixed phrase zu zweien, rather than as a pronoun-like item.",,true
Unter falschem [Namen] mietete er das Zimmer.,sha256-LSps_gCHgm5InXDq9Q7_RVp74LlJ2ac7tFXllRCXtkw,"[{""attested"":""Namen"",""orthography"":""Standard""}]",Full,"Namen is dative singular of the weak masculine noun Name, even though the surface could be plural elsewhere.",,true
"[Verbrannt] ist alles ganz und gar, das arme Kind mit Haut und Haar;",sha256-A_jARC_oqusKtnC3iQJRvP3y1AYeCV2q2NymNUdEVcc,"[{""attested"":""Verbrannt"",""orthography"":""Standard""}]",Full,"I treated Verbrannt as the participial verb form of verbrennen rather than as a plain adjective. A predicative-adjective reading is possible in German, but dumling-wise the learner-facing meaning here still points most directly to the lexical verb and its result-state participle.",,true
"Verbrannt ist alles [ganz] und gar, das arme Kind mit Haut und Haar;",sha256-M65Vn7Y8gKDk-SaR3GbF1-Kplj4Zn2pR0vlW7pCUX6g,"[{""attested"":""ganz"",""orthography"":""Standard""},{""attested"":""und"",""orthography"":""Standard""},{""attested"":""gar"",""orthography"":""Standard""}]",Full,"The Full Attestation records ganz, und, and gar as the fixed intensifying idiom rather than a standalone adjective or adverb Lexeme. The learner-relevant unit is the whole phrase meaning completely.",,true
"Verbrannt ist alles ganz [und] gar, das arme Kind mit Haut und Haar;",sha256-VhKp45SWwdfJmpwRGkxeKFtAIhVyEwkGdsd9BnXCni0,"[{""attested"":""ganz"",""orthography"":""Standard""},{""attested"":""und"",""orthography"":""Standard""},{""attested"":""gar"",""orthography"":""Standard""}]",Full,"The Full Attestation records ganz, und, and gar as the frozen intensifier; the docs review span on und does not make it a standalone CCONJ Lemma.",,true
"Verbrannt ist alles ganz und [gar], das arme Kind mit Haut und Haar;",sha256-9X6Ia9QlujHJEHLAHTkw-JaMax348qHMdAhLv6V_rRU,"[{""attested"":""ganz"",""orthography"":""Standard""},{""attested"":""und"",""orthography"":""Standard""},{""attested"":""gar"",""orthography"":""Standard""}]",Full,"Gar can often be a standalone intensifying adverb, and another Attestation in the repo uses that analysis. Here the Full Attestation records ganz, und, and gar because the fixed phrase as a whole carries the intended meaning.",,true
"Verbrannt ist alles ganz und gar, das arme Kind mit [Haut] und Haar;",sha256-s17jGVNMHZoOZOHGy7jSN6UNETMYr6QVXkkjikcjDg8,"[{""attested"":""Haut"",""orthography"":""Standard""}]",Full,"Haut is classified word-by-word here because this occurrence is used literally, not idiomatically. The noun is dative singular after mit, even though the attested form is identical to the citation form.",Do not keep a literally used idiom as a phraseme. The earlier mistake here was classifying Haut as a Partial attestation of the idiom mit Haut und Haar instead of as the standalone noun Haut in dative singular.,true
"Verbrannt ist alles ganz und gar, das arme Kind mit Haut [und] Haar;",sha256-pw9_djsoXGXgWgOSP7KfM0PwzHSgItsHE0rsL960ric,"[{""attested"":""und"",""orthography"":""Standard""}]",Full,"Und is classified word-by-word here because the phrase is being used literally, not as an idiom. In this line it is the ordinary coordinating conjunction linking the two literal nouns Haut and Haar.",Do not keep a literally used idiom as a phraseme. The earlier mistake here was classifying und as a Partial attestation of the idiom mit Haut und Haar instead of as the standalone coordinating conjunction und.,true
"Verbrannt ist alles ganz und gar, das arme Kind mit Haut und [Haar];",sha256-Cpw7F3VqZdU_vAS9QTwP_DMGDue37IxAjrlSqPU0-Q0,"[{""attested"":""Haar"",""orthography"":""Standard""}]",Full,"Haar is classified word-by-word here because the line uses the body-part phrase literally. The noun is dative singular after mit, although the surface form is syncretic with the citation form.",Do not keep a literally used idiom as a phraseme. The earlier mistake here was classifying Haar as a Partial attestation of the idiom mit Haut und Haar instead of as the standalone noun Haar in dative singular.,true
Viele [deutschsprachigen] Quellen fehlen noch.,sha256-ALkiBtXMOx3Ku8rH97SxpPrmisvATM-5xdcj653GG1Y,"[{""attested"":""deutschsprachigen"",""orthography"":""Standard""}]",Full,Deutschsprachigen looks noun-like in isolation but is annotated as an adjective inflection here.,,true
[Viele] kamen zu spät.,sha256-C8y4J6hi0kzfvKlf4cMdp-LQ8Twy39_A3QoiP-t9f7Q,"[{""attested"":""Viele"",""orthography"":""Standard""}]",Full,"Viele is annotated as PRON because it stands substantively for a plural group with no overt noun head. In attributive use, as in viele Leute, the same lexical item would be DET instead.",,true
[Wegen] dem Regen kamen wir zu spät.,sha256-WYiyJlnydGHIIKF8Oc9oe7MnLWej3-wyCZ231avQmuM,"[{""attested"":""Wegen"",""orthography"":""Standard""}]",Full,This is the normative genitive-governing adposition even though the complement phrase is colloquially dative.,Reading belongs to a later layer; this Dumling Attestation only resolves the reviewed adposition `wegen`.,
[Wer] war das?,sha256-2Iben4yHwwCWPkTntR_JulCCYB4J806p9hamRetlnno,"[{""attested"":""Wer"",""orthography"":""Standard""}]",Full,Wer is an interrogative pronoun here because it asks for the identity of the referent rather than linking a clause back to an antecedent.,,true
